center_id,center_name,owner_name,center_type,phone,alt_phone,email,whatsapp,address,city,state,pincode,map_url,registration_number,gst_number,services,home_sample,operational_hours,account_holder_name,bank_name,account_number,ifsc_code,upi_id,profile_image_url,password
dc0001,Nunez PLC Diagnostics,Donna Ochoa,Multi-specialty,5339881984,0080566677,dc0001@example.com,6770219949,6144 Fisher Club Suite 015,Robinbury,Louisiana,32109,https://maps.google.com/?q=Gonzalezbury,526174,845189,"CT Scan, Mammography",No,9:00 - 22:00,Brian Sampson,Green-Castro,590037323,IFSC0001234,claytonscott@upi,/uploads/profiles/center1.jpg,469263
dc0002,Murray Ltd Diagnostics,Aaron Turner,Imaging,8215508150,6633379352,dc0002@example.com,6248161261,02829 Dixon Ridge Apt. 889,Laurenshire,Oregon,64694,https://maps.google.com/?q=North Todd,505600,909239,"Blood Test, X-Ray, MRI",No,10:00 - 22:00,Christy Sanders,"Copeland, May and Roy",1725932647,IFSC0001234,nicolerussell@upi,/uploads/profiles/center2.jpg,692592
dc0003,"Ortiz, Lane and Gonzales Diagnostics",Frederick King,Multi-specialty,0445931076,1633483903,dc0003@example.com,1730043861,0537 Clark Tunnel Suite 309,South Justinchester,Washington,03360,https://maps.google.com/?q=North Jeanette,830043,262484,"CT Scan, Mammography",No,9:00 - 17:00,Belinda Franklin,Miller and Sons,8514985191,IFSC0001234,riveradennis@upi,/uploads/profiles/center3.jpg,793376
dc0004,Ward LLC Diagnostics,Timothy Hughes,Imaging,1239329722,1069106936,dc0004@example.com,3174134611,1941 Smith Forge Apt. 054,Petersonborough,New Jersey,33489,https://maps.google.com/?q=South Crystal,567759,218698,"ECG, Ultrasound",Yes,9:00 - 17:00,Alexa Jennings,Lara-Garcia,2736783956,IFSC0001234,woodamy@upi,/uploads/profiles/center4.jpg,483884
dc0005,Pollard-Faulkner Diagnostics,Lindsey Harris,Pathology,7693045847,6437822750,dc0005@example.com,0306987301,21472 David Bypass Apt. 057,Port Leslie,West Virginia,34173,https://maps.google.com/?q=East Nicholasstad,691560,623937,"CT Scan, Mammography",Yes,7:00 - 22:00,Denise Leonard,Kim and Sons,9380366061,IFSC0001234,williamvargas@upi,/uploads/profiles/center5.jpg,526656
dc0006,Jennings Group Diagnostics,John Armstrong,Pathology,1013629285,6196831760,dc0006@example.com,2006440646,483 Pruitt Passage,Ianfurt,Oklahoma,89936,https://maps.google.com/?q=Natalieberg,96741,107626,"CT Scan, Mammography",Yes,9:00 - 20:00,Melanie Murphy,Rodriguez-Wagner,8462219238,IFSC0001234,twright@upi,/uploads/profiles/center6.jpg,671981
dc0007,"Kidd, Wright and Leblanc Diagnostics",Ashlee Phelps,Radiology,5073568678,9025155821,dc0007@example.com,3479425380,292 Good Village,West Janettown,New Jersey,86218,https://maps.google.com/?q=West Andrewmouth,472897,72694,"Blood Test, X-Ray, MRI",Yes,7:00 - 18:00,Steve Rose,"Munoz, Hanson and Smith",1626650677,IFSC0001234,justin70@upi,/uploads/profiles/center7.jpg,433205
dc0008,Baker-Turner Diagnostics,Sally Brown,Radiology,3613950337,2854680203,dc0008@example.com,1259727030,739 Christopher Ville,Jenniferville,New York,70095,https://maps.google.com/?q=East Yvonneview,410042,901396,"CT Scan, Mammography",Yes,8:00 - 17:00,Jeffrey Moore,"Burke, Jimenez and Davis",3241013651,IFSC0001234,vlawrence@upi,/uploads/profiles/center8.jpg,110585
dc0009,"Decker, Gardner and Walker Diagnostics",Jonathon Miller,Imaging,1987958109,6421770964,dc0009@example.com,0380061401,7218 Catherine Crossing Suite 823,Liuhaven,Missouri,47548,https://maps.google.com/?q=Crawfordberg,478239,192609,"CT Scan, Mammography",Yes,9:00 - 19:00,Kelly Olson DVM,"Martinez, Malone and Johnson",2403489366,IFSC0001234,danielobrien@upi,/uploads/profiles/center9.jpg,779841
dc0010,Patterson Ltd Diagnostics,Kelly Turner,Imaging,1390199657,2971453574,dc0010@example.com,6425531999,305 Hayes Grove Apt. 415,Johnnyhaven,Texas,39042,https://maps.google.com/?q=Stephaniehaven,595951,278309,"Blood Test, X-Ray, MRI",No,10:00 - 20:00,Michael Johns,"Jennings, Chung and Ballard",2114276643,IFSC0001234,vsmith@upi,/uploads/profiles/center10.jpg,481228
dc0011,Edwards-Murphy Diagnostics,Alex Garcia,Radiology,9511450240,1372074764,dc0011@example.com,6296105860,856 Glenn Way Suite 688,Lake Lawrence,Maryland,10120,https://maps.google.com/?q=Hendersonmouth,844749,709776,"Blood Test, X-Ray, MRI",No,9:00 - 19:00,Marc Lucas,Harmon Group,3817992288,IFSC0001234,rebeccacarter@upi,/uploads/profiles/center11.jpg,161260
dc0012,"Miller, Gonzalez and Medina Diagnostics",Megan Morales,Pathology,0161373911,7035682347,dc0012@example.com,6669979689,3222 Rogers Rapids Apt. 152,Victoriaberg,New Jersey,40490,https://maps.google.com/?q=North Katieville,180093,780603,"CT Scan, Mammography",Yes,10:00 - 19:00,Kimberly Chapman,Hayes and Sons,2394142673,IFSC0001234,paulking@upi,/uploads/profiles/center12.jpg,948846
dc0013,Patterson and Sons Diagnostics,Daniel Perez,Imaging,1184612522,1120669588,dc0013@example.com,3365109114,73302 Katelyn Rue Suite 400,Port Zachary,Alaska,01493,https://maps.google.com/?q=Kirbyport,552909,538440,"ECG, Ultrasound",Yes,9:00 - 18:00,Amanda Montgomery,Gilbert Ltd,970206395,IFSC0001234,aorozco@upi,/uploads/profiles/center13.jpg,252195
dc0014,"Meadows, Jennings and Rocha Diagnostics",Paula Vasquez,Multi-specialty,6205607190,3075657483,dc0014@example.com,2041627123,3204 Gordon Alley,Lake Thomasview,Montana,80648,https://maps.google.com/?q=South Mark,19121,827090,"ECG, Ultrasound",No,7:00 - 18:00,Julie Smith,"Walker, Morgan and Davis",5991924190,IFSC0001234,hhartman@upi,/uploads/profiles/center14.jpg,493524
dc0015,Carson Group Diagnostics,Nancy Douglas,Imaging,9339300205,5451178284,dc0015@example.com,4653212475,7392 Ruiz Locks,Brianview,Oklahoma,29798,https://maps.google.com/?q=Ambertown,95765,782299,"ECG, Ultrasound",No,7:00 - 18:00,Jeffrey Williams,Perez Ltd,2249442533,IFSC0001234,michellemoore@upi,/uploads/profiles/center15.jpg,613089
dc0016,Petersen-Walker Diagnostics,Javier Martin,Radiology,3326901292,9592098852,dc0016@example.com,3912874968,25666 Jody Oval,West Alisonshire,Georgia,03710,https://maps.google.com/?q=Williamstown,628143,563248,"Blood Test, X-Ray, MRI",Yes,9:00 - 17:00,Samuel Gonzalez,"Taylor, Harvey and Daniels",7884452821,IFSC0001234,ujohnson@upi,/uploads/profiles/center16.jpg,717479
dc0017,"Williams, Allen and Parrish Diagnostics",Anne Myers,Multi-specialty,0987466301,3605243736,dc0017@example.com,8892046577,6264 Wayne Walks,North Ashley,New Mexico,16595,https://maps.google.com/?q=Gibsonville,950720,900575,"Blood Test, X-Ray, MRI",No,7:00 - 17:00,Rachel Smith,"Boyd, Williams and Jones",25157893,IFSC0001234,antoniogarner@upi,/uploads/profiles/center17.jpg,599656
dc0018,"Rogers, Stewart and Young Diagnostics",Mary Howard,Pathology,8827704872,0148417500,dc0018@example.com,6741507290,5523 Wallace Shore Suite 833,Lake Scott,Delaware,21440,https://maps.google.com/?q=Port Tanya,109077,332113,"CT Scan, Mammography",No,8:00 - 20:00,Amber Holt,Diaz-Oconnor,1717049938,IFSC0001234,xdiaz@upi,/uploads/profiles/center18.jpg,630544
dc0019,"Newman, Johnson and Chandler Diagnostics",Francisco Brown,Pathology,2679710717,0977888189,dc0019@example.com,6153403733,54958 Tamara Mews Suite 396,New Kristiview,Maryland,69841,https://maps.google.com/?q=Stevenhaven,237063,339698,"ECG, Ultrasound",No,7:00 - 22:00,Joshua Perez,Pugh and Sons,9644599473,IFSC0001234,masonroberta@upi,/uploads/profiles/center19.jpg,642935
dc0020,"Gonzales, Hall and Jackson Diagnostics",Heather Cooley,Cardiology Lab,0100850677,8279881101,dc0020@example.com,6507375827,52616 Jill Vista Suite 316,Lake Kimberly,Vermont,58030,https://maps.google.com/?q=South Jonathan,142235,340809,"ECG, Ultrasound",No,10:00 - 22:00,Kevin Arellano,"Johnson, Russell and Gonzalez",5865966203,IFSC0001234,steven19@upi,/uploads/profiles/center20.jpg,935022
dc0021,Arnold-Martinez Diagnostics,James White,Multi-specialty,3806710843,9203772189,dc0021@example.com,1663239880,53181 Terri Shore,Lake Brendaville,Virginia,22622,https://maps.google.com/?q=Anthonymouth,731320,702740,"CT Scan, Mammography",Yes,10:00 - 19:00,Joshua Walker,Rosario-Flowers,6587218197,IFSC0001234,joshuathompson@upi,/uploads/profiles/center21.jpg,69662
dc0022,Dorsey Inc Diagnostics,James Lozano,Pathology,9477939494,4792309089,dc0022@example.com,4191277894,336 Dennis Tunnel,Joseside,Wyoming,86984,https://maps.google.com/?q=Hernandezland,531353,785807,"Blood Test, X-Ray, MRI",No,10:00 - 20:00,Richard Griffith,Baker PLC,3198717166,IFSC0001234,cindysandoval@upi,/uploads/profiles/center22.jpg,841065
dc0023,"Hernandez, Vang and Smith Diagnostics",Sarah Hernandez,Pathology,9095185336,0428794049,dc0023@example.com,7554580047,1108 Waters Mission Apt. 051,Lake Andrew,Pennsylvania,67772,https://maps.google.com/?q=South Erichaven,116244,964831,"CT Scan, Mammography",No,9:00 - 17:00,Michael Dennis,"Sanders, Thompson and Atkinson",2695311501,IFSC0001234,tammy03@upi,/uploads/profiles/center23.jpg,517839
dc0024,Johnson-Morrow Diagnostics,Marcus Neal,Cardiology Lab,9262191703,2461918258,dc0024@example.com,7213315057,363 Hartman Plaza Suite 569,Reedfort,Wisconsin,15525,https://maps.google.com/?q=Mooreport,660832,870035,"Blood Test, X-Ray, MRI",No,9:00 - 21:00,Gregory Carter,Fuller Inc,2226765492,IFSC0001234,margaretgreene@upi,/uploads/profiles/center24.jpg,652739
dc0025,White and Sons Diagnostics,Brandon Edwards,Radiology,7218159055,0683746101,dc0025@example.com,0328992095,72029 Carlos Center,Port Maryland,Maine,12698,https://maps.google.com/?q=West Christopherside,958669,825613,"ECG, Ultrasound",No,10:00 - 19:00,Michael Delgado,Torres Group,3323152905,IFSC0001234,jamesbreanna@upi,/uploads/profiles/center25.jpg,687326
dc0026,Alexander-Campbell Diagnostics,Sarah Smith,Radiology,2259237793,4562973605,dc0026@example.com,0772161789,88378 Obrien Walks,Hannaberg,Alabama,38276,https://maps.google.com/?q=Tamaraview,69592,399678,"CT Scan, Mammography",No,7:00 - 20:00,Nancy Park,"Bennett, Dean and Bowen",6391697711,IFSC0001234,martinpaul@upi,/uploads/profiles/center26.jpg,326335
